X	Y_Exp	Y_Fit	Residual	Comp_1	Comp_2
2.200000e+00	2.066888e-01	2.388575e-01	-3.216867e-02	7.779114e-03	2.310784e-01
2.300000e+00	2.238795e-01	2.425050e-01	-1.862544e-02	9.124103e-03	2.333809e-01
2.400000e+00	2.319558e-01	2.463624e-01	-1.440660e-02	1.067066e-02	2.356917e-01
2.500000e+00	2.316363e-01	2.504540e-01	-1.881774e-02	1.244326e-02	2.380108e-01
2.600000e+00	2.516025e-01	2.548060e-01	-3.203572e-03	1.446831e-02	2.403377e-01
2.700000e+00	2.695737e-01	2.594467e-01	1.012697e-02	1.677425e-02	2.426724e-01
2.800000e+00	2.667138e-01	2.644061e-01	2.307746e-03	1.939141e-02	2.450147e-01
2.900000e+00	2.635052e-01	2.697162e-01	-6.210990e-03	2.235204e-02	2.473642e-01
3.000000e+00	2.731004e-01	2.754109e-01	-2.310580e-03	2.569012e-02	2.497208e-01
3.100000e+00	3.006689e-01	2.815256e-01	1.914330e-02	2.944125e-02	2.520843e-01
3.200000e+00	3.118421e-01	2.880969e-01	2.374519e-02	3.364246e-02	2.544544e-01
3.300000e+00	3.107645e-01	2.951628e-01	1.560163e-02	3.833192e-02	2.568309e-01
3.400000e+00	3.102699e-01	3.027622e-01	7.507635e-03	4.354864e-02	2.592136e-01
3.500000e+00	3.056824e-01	3.109343e-01	-5.251951e-03	4.933214e-02	2.616022e-01
3.600000e+00	3.138031e-01	3.197184e-01	-5.915299e-03	5.572198e-02	2.639965e-01
3.700000e+00	3.167614e-01	3.291535e-01	-1.239208e-02	6.275732e-02	2.663962e-01
3.800000e+00	3.240244e-01	3.392774e-01	-1.525305e-02	7.047637e-02	2.688011e-01
3.900000e+00	3.416172e-01	3.501267e-01	-8.509480e-03	7.891580e-02	2.712109e-01
4.000000e+00	3.644324e-01	3.617355e-01	2.696949e-03	8.811009e-02	2.736254e-01
4.100000e+00	3.993988e-01	3.741352e-01	2.526366e-02	9.809088e-02	2.760443e-01
4.200000e+00	4.239549e-01	3.873536e-01	3.660134e-02	1.088862e-01	2.784674e-01
4.300000e+00	4.359549e-01	4.014142e-01	3.454073e-02	1.205198e-01	2.808944e-01
4.400000e+00	4.470538e-01	4.163353e-01	3.071854e-02	1.330103e-01	2.833250e-01
4.500000e+00	4.487560e-01	4.321293e-01	1.662660e-02	1.463704e-01	2.857589e-01
4.600000e+00	4.563535e-01	4.488023e-01	7.551198e-03	1.606063e-01	2.881960e-01
4.700000e+00	4.723155e-01	4.663526e-01	5.962876e-03	1.757168e-01	2.906359e-01
4.800000e+00	4.880180e-01	4.847707e-01	3.247238e-03	1.916925e-01	2.930782e-01
4.900000e+00	5.158909e-01	5.040383e-01	1.185263e-02	2.085155e-01	2.955229e-01
5.000000e+00	5.412220e-01	5.241278e-01	1.709417e-02	2.261584e-01	2.979694e-01
5.100000e+00	5.660658e-01	5.450019e-01	2.106390e-02	2.445842e-01	3.004177e-01
5.200000e+00	5.882898e-01	5.666131e-01	2.167678e-02	2.637457e-01	3.028673e-01
5.300000e+00	6.126006e-01	5.889033e-01	2.369723e-02	2.835853e-01	3.053181e-01
5.400000e+00	6.389804e-01	6.118043e-01	2.717605e-02	3.040348e-01	3.077696e-01
5.500000e+00	6.635198e-01	6.352371e-01	2.828274e-02	3.250155e-01	3.102216e-01
5.600000e+00	6.787507e-01	6.591123e-01	1.963841e-02	3.464385e-01	3.126738e-01
5.700000e+00	7.006183e-01	6.833308e-01	1.728751e-02	3.682048e-01	3.151259e-01
5.800000e+00	7.204184e-01	7.077838e-01	1.263466e-02	3.902062e-01	3.175776e-01
5.900000e+00	7.464001e-01	7.323539e-01	1.404621e-02	4.123254e-01	3.200286e-01
6.000000e+00	7.667735e-01	7.569159e-01	9.857573e-03	4.344374e-01	3.224785e-01
6.100000e+00	7.874593e-01	7.813377e-01	6.121651e-03	4.564106e-01	3.249271e-01
6.200000e+00	8.112447e-01	8.054814e-01	5.763304e-03	4.781074e-01	3.273740e-01
6.300000e+00	8.329827e-01	8.292051e-01	3.777556e-03	4.993861e-01	3.298190e-01
6.400000e+00	8.512457e-01	8.523639e-01	-1.118244e-03	5.201023e-01	3.322617e-01
6.500000e+00	8.697241e-01	8.748118e-01	-5.087777e-03	5.401101e-01	3.347017e-01
6.600000e+00	8.833423e-01	8.964032e-01	-1.306094e-02	5.592643e-01	3.371388e-01
6.700000e+00	8.968237e-01	9.169946e-01	-2.017094e-02	5.774219e-01	3.395727e-01
6.800000e+00	9.070480e-01	9.364466e-01	-2.939853e-02	5.944436e-01	3.420030e-01
6.900000e+00	9.219359e-01	9.546253e-01	-3.268940e-02	6.101959e-01	3.444294e-01
7.000000e+00	9.378510e-01	9.714044e-01	-3.355337e-02	6.245529e-01	3.468515e-01
7.100000e+00	9.553963e-01	9.866667e-01	-3.127031e-02	6.373976e-01	3.492690e-01
7.200000e+00	9.691038e-01	1.000306e+00	-3.120173e-02	6.486239e-01	3.516817e-01
7.300000e+00	9.798708e-01	1.012227e+00	-3.235588e-02	6.581376e-01	3.540891e-01
7.400000e+00	9.914170e-01	1.022349e+00	-3.093212e-02	6.658581e-01	3.564909e-01
7.500000e+00	9.976306e-01	1.030606e+00	-3.297590e-02	6.717196e-01	3.588869e-01
7.600000e+00	1.000000e+00	1.036948e+00	-3.694807e-02	6.756715e-01	3.612766e-01
8.300000e+00	9.977657e-01	1.026920e+00	-2.915443e-02	6.491191e-01	3.778010e-01
8.500000e+00	9.927010e-01	1.007650e+00	-1.494888e-02	6.252032e-01	3.824467e-01
8.600000e+00	9.914828e-01	9.956713e-01	-4.188501e-03	6.109161e-01	3.847552e-01
8.700000e+00	9.848606e-01	9.822814e-01	2.579191e-03	5.952277e-01	3.870537e-01
8.800000e+00	9.765911e-01	9.676057e-01	8.985422e-03	5.782638e-01	3.893419e-01
8.900000e+00	9.668837e-01	9.517768e-01	1.510692e-02	5.601575e-01	3.916193e-01
9.000000e+00	9.566423e-01	9.349335e-01	2.170887e-02	5.410478e-01	3.938857e-01
9.100000e+00	9.441420e-01	9.172182e-01	2.692376e-02	5.210775e-01	3.961407e-01
9.200000e+00	9.273260e-01	8.987759e-01	2.855010e-02	5.003919e-01	3.983840e-01
9.300000e+00	9.085304e-01	8.797520e-01	2.877839e-02	4.791368e-01	4.006152e-01
9.400000e+00	8.888972e-01	8.602908e-01	2.860641e-02	4.574568e-01	4.028340e-01
9.500000e+00	8.705147e-01	8.405337e-01	2.998095e-02	4.354937e-01	4.050401e-01
9.600000e+00	8.546604e-01	8.206182e-01	3.404219e-02	4.133852e-01	4.072330e-01
9.700000e+00	8.347744e-01	8.006759e-01	3.409854e-02	3.912635e-01	4.094124e-01
9.800000e+00	8.139536e-01	7.808319e-01	3.312172e-02	3.692537e-01	4.115781e-01
9.900000e+00	7.981473e-01	7.612032e-01	3.694407e-02	3.474736e-01	4.137296e-01
1.000000e+01	7.808567e-01	7.418985e-01	3.895821e-02	3.260318e-01	4.158667e-01
1.010000e+01	7.620512e-01	7.230167e-01	3.903442e-02	3.050278e-01	4.179889e-01
1.020000e+01	7.365215e-01	7.046471e-01	3.187449e-02	2.845510e-01	4.200960e-01
1.030000e+01	7.122902e-01	6.868682e-01	2.542195e-02	2.646806e-01	4.221876e-01
1.040000e+01	6.922320e-01	6.697486e-01	2.248334e-02	2.454853e-01	4.242634e-01
1.050000e+01	6.734440e-01	6.533460e-01	2.009800e-02	2.270231e-01	4.263230e-01
1.060000e+01	6.510459e-01	6.377078e-01	1.333808e-02	2.093417e-01	4.283661e-01
1.070000e+01	6.328695e-01	6.228711e-01	9.998385e-03	1.924788e-01	4.303923e-01
1.080000e+01	6.194709e-01	6.088635e-01	1.060743e-02	1.764620e-01	4.324015e-01
1.090000e+01	6.010782e-01	5.957029e-01	5.375293e-03	1.613099e-01	4.343931e-01
1.100000e+01	5.832411e-01	5.833989e-01	-1.577666e-04	1.470320e-01	4.363669e-01
1.110000e+01	5.639094e-01	5.719525e-01	-8.043105e-03	1.336300e-01	4.383225e-01
1.120000e+01	5.436190e-01	5.613579e-01	-1.773884e-02	1.210981e-01	4.402597e-01
1.130000e+01	5.343312e-01	5.516020e-01	-1.727078e-02	1.094239e-01	4.421781e-01
1.140000e+01	5.208940e-01	5.426663e-01	-2.177239e-02	9.858895e-02	4.440774e-01
1.150000e+01	4.997848e-01	5.345270e-01	-3.474221e-02	8.856978e-02	4.459572e-01
1.160000e+01	4.843707e-01	5.271559e-01	-4.278516e-02	7.933852e-02	4.478174e-01
1.170000e+01	4.763021e-01	5.205211e-01	-4.421909e-02	7.086372e-02	4.496574e-01
1.180000e+01	4.638267e-01	5.145881e-01	-5.076145e-02	6.311100e-02	4.514771e-01
1.190000e+01	4.414320e-01	5.093199e-01	-6.788795e-02	5.604379e-02	4.532761e-01
1.200000e+01	4.348162e-01	5.046781e-01	-6.986192e-02	4.962393e-02	4.550542e-01
1.210000e+01	4.224191e-01	5.006232e-01	-7.820416e-02	4.381230e-02	4.568109e-01
1.220000e+01	4.235303e-01	4.971155e-01	-7.358518e-02	3.856935e-02	4.585461e-01
1.230000e+01	4.225011e-01	4.941150e-01	-7.161386e-02	3.385554e-02	4.602594e-01
1.240000e+01	4.070192e-01	4.915824e-01	-8.456319e-02	2.963184e-02	4.619505e-01
1.250000e+01	3.933409e-01	4.894792e-01	-9.613832e-02	2.586000e-02	4.636192e-01
1.260000e+01	3.808821e-01	4.877681e-01	-1.068860e-01	2.250297e-02	4.652651e-01
1.270000e+01	3.645713e-01	4.864131e-01	-1.218418e-01	1.952507e-02	4.668880e-01
1.280000e+01	3.590040e-01	4.853798e-01	-1.263758e-01	1.689221e-02	4.684876e-01
1.290000e+01	3.555887e-01	4.846356e-01	-1.290469e-01	1.457208e-02	4.700635e-01
1.300000e+01	3.576267e-01	4.841498e-01	-1.265231e-01	1.253424e-02	4.716156e-01
1.310000e+01	3.546597e-01	4.838937e-01	-1.292341e-01	1.075018e-02	4.731436e-01
1.320000e+01	3.571100e-01	4.838405e-01	-1.267304e-01	9.193366e-03	4.746471e-01
1.330000e+01	3.560432e-01	4.839652e-01	-1.279220e-01	7.839255e-03	4.761260e-01
1.340000e+01	3.556176e-01	4.842451e-01	-1.286275e-01	6.665248e-03	4.775799e-01
1.350000e+01	3.537591e-01	4.846593e-01	-1.309002e-01	5.650659e-03	4.790086e-01
1.360000e+01	3.541845e-01	4.851886e-01	-1.310041e-01	4.776647e-03	4.804119e-01
1.370000e+01	3.572151e-01	4.858157e-01	-1.286006e-01	4.026137e-03	4.817895e-01
1.380000e+01	3.684304e-01	4.865249e-01	-1.180946e-01	3.383725e-03	4.831412e-01
1.390000e+01	3.788358e-01	4.873023e-01	-1.084665e-01	2.835587e-03	4.844667e-01
1.400000e+01	3.841096e-01	4.881352e-01	-1.040256e-01	2.369366e-03	4.857658e-01
1.410000e+01	3.906996e-01	4.890123e-01	-9.831273e-02	1.974070e-03	4.870382e-01
1.420000e+01	3.967325e-01	4.899238e-01	-9.319132e-02	1.639964e-03	4.882838e-01
1.430000e+01	4.020855e-01	4.908608e-01	-8.877532e-02	1.358461e-03	4.895023e-01
1.440000e+01	4.083038e-01	4.918155e-01	-8.351172e-02	1.122022e-03	4.906935e-01
1.450000e+01	4.158616e-01	4.927812e-01	-7.691961e-02	9.240534e-04	4.918571e-01
1.460000e+01	4.255569e-01	4.937518e-01	-6.819491e-02	7.588115e-04	4.929930e-01
1.470000e+01	4.292348e-01	4.947223e-01	-6.548753e-02	6.213152e-04	4.941010e-01
1.480000e+01	4.425285e-01	4.956881e-01	-5.315962e-02	5.072608e-04	4.951808e-01
1.490000e+01	4.564393e-01	4.966453e-01	-4.020596e-02	4.129447e-04	4.962323e-01
1.500000e+01	4.665959e-01	4.975905e-01	-3.099461e-02	3.351922e-04	4.972553e-01
1.510000e+01	4.811016e-01	4.985209e-01	-1.741922e-02	2.712920e-04	4.982496e-01
1.520000e+01	4.917218e-01	4.994339e-01	-7.712058e-03	2.189382e-04	4.992149e-01
1.530000e+01	5.014356e-01	5.003274e-01	1.108178e-03	1.761762e-04	5.001512e-01
1.540000e+01	5.144214e-01	5.011996e-01	1.322176e-02	1.413560e-04	5.010583e-01
1.550000e+01	5.299552e-01	5.020490e-01	2.790615e-02	1.130896e-04	5.019360e-01
1.560000e+01	5.428654e-01	5.028743e-01	3.999109e-02	9.021361e-05	5.027841e-01
1.570000e+01	5.524296e-01	5.036742e-01	4.875538e-02	7.175677e-05	5.036024e-01
1.580000e+01	5.700783e-01	5.044479e-01	6.563041e-02	5.691084e-05	5.043909e-01
1.590000e+01	5.785964e-01	5.051945e-01	7.340191e-02	4.500579e-05	5.051494e-01
1.600000e+01	5.838031e-01	5.059133e-01	7.788979e-02	3.548812e-05	5.058778e-01
1.610000e+01	5.837946e-01	5.066038e-01	7.719084e-02	2.790223e-05	5.065759e-01
1.620000e+01	5.883007e-01	5.072654e-01	8.103529e-02	2.187440e-05	5.072435e-01
1.630000e+01	5.960542e-01	5.078977e-01	8.815642e-02	1.709915e-05	5.078806e-01
1.640000e+01	6.052415e-01	5.085004e-01	9.674111e-02	1.332767e-05	5.084871e-01
1.650000e+01	6.170025e-01	5.090732e-01	1.079293e-01	1.035799e-05	5.090628e-01
1.660000e+01	6.291612e-01	5.096157e-01	1.195456e-01	8.026712e-06	5.096076e-01
1.670000e+01	6.331534e-01	5.101277e-01	1.230257e-01	6.202136e-06	5.101215e-01
1.680000e+01	6.462898e-01	5.106091e-01	1.356808e-01	4.778440e-06	5.106043e-01
1.690000e+01	6.521483e-01	5.110596e-01	1.410887e-01	3.670897e-06	5.110559e-01
1.700000e+01	6.591333e-01	5.114791e-01	1.476541e-01	2.811899e-06	5.114763e-01
1.710000e+01	6.601520e-01	5.118676e-01	1.482845e-01	2.147674e-06	5.118654e-01
1.720000e+01	6.713007e-01	5.122247e-01	1.590760e-01	1.635604e-06	5.122231e-01
1.730000e+01	6.789936e-01	5.125506e-01	1.664430e-01	1.242023e-06	5.125493e-01
1.740000e+01	6.863877e-01	5.128450e-01	1.735427e-01	9.404203e-07	5.128441e-01
1.750000e+01	6.909574e-01	5.131079e-01	1.778494e-01	7.099958e-07	5.131072e-01
1.760000e+01	6.900252e-01	5.133393e-01	1.766859e-01	5.344792e-07	5.133388e-01
1.770000e+01	6.937992e-01	5.135390e-01	1.802602e-01	4.011873e-07	5.135386e-01
1.780000e+01	6.958970e-01	5.137071e-01	1.821899e-01	3.002650e-07	5.137068e-01
1.790000e+01	6.942477e-01	5.138435e-01	1.804042e-01	2.240803e-07	5.138433e-01
1.800000e+01	6.998553e-01	5.139481e-01	1.859071e-01	1.667415e-07	5.139480e-01
1.810000e+01	7.006618e-01	5.140210e-01	1.866408e-01	1.237158e-07	5.140209e-01
1.820000e+01	7.068722e-01	5.140621e-01	1.928101e-01	9.152671e-08	5.140620e-01
1.830000e+01	7.100370e-01	5.140714e-01	1.959656e-01	6.751680e-08	5.140714e-01
1.840000e+01	7.065322e-01	5.140490e-01	1.924832e-01	4.966118e-08	5.140489e-01
1.850000e+01	7.049574e-01	5.139947e-01	1.909627e-01	3.642198e-08	5.139947e-01
1.860000e+01	6.983762e-01	5.139087e-01	1.844676e-01	2.663492e-08	5.139086e-01
1.870000e+01	6.938653e-01	5.137909e-01	1.800745e-01	1.942140e-08	5.137908e-01
1.880000e+01	6.835907e-01	5.136413e-01	1.699493e-01	1.412052e-08	5.136413e-01
1.890000e+01	6.752592e-01	5.134600e-01	1.617991e-01	1.023676e-08	5.134600e-01
1.900000e+01	6.718540e-01	5.132471e-01	1.586069e-01	7.399720e-09	5.132471e-01
1.910000e+01	6.656516e-01	5.130025e-01	1.526491e-01	5.333465e-09	5.130025e-01
1.920000e+01	6.663843e-01	5.127263e-01	1.536579e-01	3.833054e-09	5.127263e-01
1.930000e+01	6.576213e-01	5.124186e-01	1.452027e-01	2.746766e-09	5.124186e-01
1.940000e+01	6.541262e-01	5.120794e-01	1.420468e-01	1.962635e-09	5.120794e-01
1.950000e+01	6.506702e-01	5.117087e-01	1.389614e-01	1.398295e-09	5.117087e-01
1.960000e+01	6.469723e-01	5.113067e-01	1.356656e-01	9.933434e-10	5.113067e-01
1.970000e+01	6.342602e-01	5.108734e-01	1.233868e-01	7.036250e-10	5.108734e-01
1.980000e+01	6.248520e-01	5.104089e-01	1.144430e-01	4.969633e-10	5.104089e-01
1.990000e+01	6.183757e-01	5.099133e-01	1.084624e-01	3.499844e-10	5.099133e-01
2.000000e+01	6.077728e-01	5.093866e-01	9.838611e-02	2.457618e-10	5.093866e-01
2.010000e+01	5.979203e-01	5.088291e-01	8.909119e-02	1.720764e-10	5.088291e-01
2.020000e+01	5.973096e-01	5.082407e-01	8.906898e-02	1.201350e-10	5.082407e-01
2.030000e+01	5.818664e-01	5.076215e-01	7.424484e-02	8.362938e-11	5.076215e-01
2.040000e+01	5.750293e-01	5.069718e-01	6.805746e-02	5.804832e-11	5.069718e-01
2.050000e+01	5.662538e-01	5.062916e-01	5.996215e-02	4.017553e-11	5.062916e-01
2.060000e+01	5.576103e-01	5.055810e-01	5.202926e-02	2.772522e-11	5.055810e-01
2.070000e+01	5.384991e-01	5.048402e-01	3.365891e-02	1.907785e-11	5.048402e-01
2.080000e+01	5.320027e-01	5.040693e-01	2.793336e-02	1.308957e-11	5.040693e-01
2.090000e+01	5.279969e-01	5.032685e-01	2.472844e-02	8.954935e-12	5.032685e-01
2.100000e+01	5.108624e-01	5.024378e-01	8.424530e-03	6.108588e-12	5.024378e-01
2.110000e+01	5.000852e-01	5.015775e-01	-1.492278e-03	4.154899e-12	5.015775e-01
2.120000e+01	4.992607e-01	5.006877e-01	-1.427014e-03	2.817873e-12	5.006877e-01
2.130000e+01	4.905550e-01	4.997686e-01	-9.213575e-03	1.905564e-12	4.997686e-01
2.140000e+01	4.793912e-01	4.988202e-01	-1.942909e-02	1.284893e-12	4.988202e-01
2.150000e+01	4.720704e-01	4.978429e-01	-2.577254e-02	8.638769e-13	4.978429e-01
2.160000e+01	4.672183e-01	4.968368e-01	-2.961855e-02	5.791324e-13	4.968368e-01
2.170000e+01	4.575706e-01	4.958021e-01	-3.823144e-02	3.871196e-13	4.958021e-01
2.180000e+01	4.604673e-01	4.947389e-01	-3.427153e-02	2.580202e-13	4.947389e-01
2.190000e+01	4.540078e-01	4.936474e-01	-3.963954e-02	1.714761e-13	4.936474e-01
2.200000e+01	4.392845e-01	4.925279e-01	-5.324333e-02	1.136305e-13	4.925279e-01
2.210000e+01	4.259395e-01	4.913805e-01	-6.544097e-02	7.508050e-14	4.913805e-01
2.220000e+01	4.110044e-01	4.902055e-01	-7.920110e-02	4.946532e-14	4.902055e-01
2.230000e+01	3.964382e-01	4.890030e-01	-9.256478e-02	3.249494e-14	4.890030e-01
2.240000e+01	3.793748e-01	4.877733e-01	-1.083985e-01	2.128492e-14	4.877733e-01
2.250000e+01	3.623519e-01	4.865166e-01	-1.241647e-01	1.390175e-14	4.865166e-01
2.260000e+01	3.589957e-01	4.852332e-01	-1.262375e-01	9.053329e-15	4.852332e-01
2.270000e+01	3.523267e-01	4.839232e-01	-1.315964e-01	5.878796e-15	4.839232e-01
2.280000e+01	3.620569e-01	4.825868e-01	-1.205300e-01	3.806359e-15	4.825868e-01
2.290000e+01	3.630792e-01	4.812244e-01	-1.181452e-01	2.457380e-15	4.812244e-01
2.300000e+01	3.713834e-01	4.798362e-01	-1.084528e-01	1.581890e-15	4.798362e-01
2.310000e+01	3.759782e-01	4.784224e-01	-1.024441e-01	1.015363e-15	4.784224e-01
2.320000e+01	3.804389e-01	4.769832e-01	-9.654433e-02	6.498420e-16	4.769832e-01
2.330000e+01	3.932033e-01	4.755190e-01	-8.231563e-02	4.147014e-16	4.755190e-01
2.340000e+01	3.966093e-01	4.740299e-01	-7.742055e-02	2.638788e-16	4.740299e-01
2.350000e+01	3.790497e-01	4.725163e-01	-9.346659e-02	1.674228e-16	4.725163e-01
2.360000e+01	3.682683e-01	4.709783e-01	-1.027100e-01	1.059171e-16	4.709783e-01
2.370000e+01	3.627059e-01	4.694163e-01	-1.067105e-01	6.681270e-17	4.694163e-01
2.380000e+01	3.556983e-01	4.678306e-01	-1.121323e-01	4.202358e-17	4.678306e-01
2.390000e+01	3.410017e-01	4.662214e-01	-1.252197e-01	2.635533e-17	4.662214e-01
2.400000e+01	3.324873e-01	4.645890e-01	-1.321017e-01	1.648106e-17	4.645890e-01
2.410000e+01	3.285244e-01	4.629337e-01	-1.344093e-01	1.027645e-17	4.629337e-01
2.420000e+01	3.382545e-01	4.612557e-01	-1.230013e-01	6.389136e-18	4.612557e-01
2.430000e+01	3.365128e-01	4.595554e-01	-1.230426e-01	3.960797e-18	4.595554e-01
2.440000e+01	3.386669e-01	4.578330e-01	-1.191661e-01	2.448298e-18	4.578330e-01
2.450000e+01	3.349381e-01	4.560889e-01	-1.211508e-01	1.508993e-18	4.560889e-01
2.460000e+01	3.393349e-01	4.543233e-01	-1.149884e-01	9.273669e-19	4.543233e-01
2.470000e+01	3.494386e-01	4.525366e-01	-1.030980e-01	5.682731e-19	4.525366e-01
2.480000e+01	3.541741e-01	4.507290e-01	-9.655496e-02	3.472194e-19	4.507290e-01
2.490000e+01	3.535818e-01	4.489009e-01	-9.531907e-02	2.115398e-19	4.489009e-01
2.500000e+01	3.451702e-01	4.470525e-01	-1.018823e-01	1.285054e-19	4.470525e-01
2.510000e+01	3.424472e-01	4.451842e-01	-1.027371e-01	7.783807e-20	4.451842e-01
2.520000e+01	3.351049e-01	4.432963e-01	-1.081914e-01	4.701148e-20	4.432963e-01
2.530000e+01	3.181173e-01	4.413891e-01	-1.232718e-01	2.831113e-20	4.413891e-01
2.540000e+01	3.285096e-01	4.394629e-01	-1.109533e-01	1.700011e-20	4.394629e-01
2.550000e+01	3.293868e-01	4.375181e-01	-1.081313e-01	1.017858e-20	4.375181e-01
2.560000e+01	3.363549e-01	4.355549e-01	-9.919997e-02	6.076652e-21	4.355549e-01
2.570000e+01	3.481552e-01	4.335737e-01	-8.541850e-02	3.617285e-21	4.335737e-01
2.580000e+01	3.593600e-01	4.315749e-01	-7.221483e-02	2.147050e-21	4.315749e-01
2.590000e+01	3.683986e-01	4.295586e-01	-6.116007e-02	1.270700e-21	4.295586e-01
2.600000e+01	3.718145e-01	4.275254e-01	-5.571085e-02	7.498687e-22	4.275254e-01
2.610000e+01	3.790595e-01	4.254754e-01	-4.641595e-02	4.412336e-22	4.254754e-01
2.620000e+01	3.749723e-01	4.234091e-01	-4.843680e-02	2.588769e-22	4.234091e-01
2.630000e+01	3.615396e-01	4.213268e-01	-5.978716e-02	1.514465e-22	4.213268e-01
2.640000e+01	3.630074e-01	4.192288e-01	-5.622140e-02	8.834184e-23	4.192288e-01
2.650000e+01	3.546399e-01	4.171154e-01	-6.247545e-02	5.138246e-23	4.171154e-01
2.660000e+01	3.563246e-01	4.149870e-01	-5.866241e-02	2.979920e-23	4.149870e-01
2.670000e+01	3.619022e-01	4.128439e-01	-5.094169e-02	1.723200e-23	4.128439e-01
2.680000e+01	3.690921e-01	4.106865e-01	-4.159442e-02	9.935919e-24	4.106865e-01
2.690000e+01	3.831263e-01	4.085151e-01	-2.538885e-02	5.712440e-24	4.085151e-01
2.700000e+01	3.934807e-01	4.063301e-01	-1.284931e-02	3.274737e-24	4.063301e-01
2.710000e+01	3.974838e-01	4.041317e-01	-6.647870e-03	1.871857e-24	4.041317e-01
2.720000e+01	3.944810e-01	4.019204e-01	-7.439347e-03	1.066866e-24	4.019204e-01
2.730000e+01	3.739836e-01	3.996964e-01	-2.571280e-02	6.063016e-25	3.996964e-01
2.740000e+01	3.618970e-01	3.974602e-01	-3.556313e-02	3.435648e-25	3.974602e-01
2.750000e+01	3.546687e-01	3.952120e-01	-4.054326e-02	1.941198e-25	3.952120e-01
2.760000e+01	3.502873e-01	3.929522e-01	-4.266499e-02	1.093635e-25	3.929522e-01
2.770000e+01	3.523479e-01	3.906812e-01	-3.833331e-02	6.143505e-26	3.906812e-01
2.780000e+01	3.558596e-01	3.883993e-01	-3.253974e-02	3.441132e-26	3.883993e-01
2.790000e+01	3.697573e-01	3.861069e-01	-1.634959e-02	1.921886e-26	3.861069e-01
2.800000e+01	3.799187e-01	3.838042e-01	-3.885459e-03	1.070275e-26	3.838042e-01
2.810000e+01	3.755126e-01	3.814917e-01	-5.979048e-03	5.942978e-27	3.814917e-01
2.820000e+01	3.770826e-01	3.791696e-01	-2.087006e-03	3.290442e-27	3.791696e-01
2.830000e+01	3.769874e-01	3.768384e-01	1.490510e-04	1.816543e-27	3.768384e-01
2.840000e+01	3.779429e-01	3.744983e-01	3.444623e-03	9.999503e-28	3.744983e-01
2.850000e+01	3.783574e-01	3.721498e-01	6.207590e-03	5.488484e-28	3.721498e-01
2.860000e+01	3.711079e-01	3.697931e-01	1.314801e-03	3.003777e-28	3.697931e-01
2.870000e+01	3.595488e-01	3.674286e-01	-7.879779e-03	1.639171e-28	3.674286e-01
2.880000e+01	3.489085e-01	3.650566e-01	-1.614813e-02	8.919119e-29	3.650566e-01
2.890000e+01	3.593722e-01	3.626775e-01	-3.305353e-03	4.839061e-29	3.626775e-01
2.900000e+01	3.528033e-01	3.602917e-01	-7.488400e-03	2.617830e-29	3.602917e-01
2.910000e+01	3.443316e-01	3.578993e-01	-1.356777e-02	1.412092e-29	3.578993e-01
2.920000e+01	3.456462e-01	3.555009e-01	-9.854733e-03	7.594968e-30	3.555009e-01
